lo_orderkey|lo_linenumber|lo_custkey|lo_partkey|lo_suppkey|lo_orderdate|lo_orderpriority|lo_shippriority|lo_quantity|lo_extendedprice|lo_ordertotalprice|lo_discount|lo_revenue|lo_supplycost|lo_tax|lo_commitdate|lo_shipmode
2471|4|10|11|1|19920827|1-URGENT|0|37|3370737|16279592|3|3269614|54660|5|19921004|TRUCK
5472|2|11|68|2|19920601|4-NOT SPECI|0|28|2710568|13858721|0|2710568|58083|3|19920718|FOB
4385|2|22|62|2|19951023|1-URGENT|0|14|1346884|17166306|8|1239133|57723|5|19951216|RAIL
5477|1|14|80|2|19931222|3-MEDIUM|0|20|1960160|3910659|3|1901355|58804|1|19940201|SHIP
5348|3|16|17|1|19931010|5-LOW|0|16|1467216|10475086|6|1379183|55020|8|19931126|AIR
1986|4|22|33|2|19951006|4-NOT SPECI|0|28|2612484|10648064|9|2377360|55981|3|19951202|TRUCK
1991|2|22|53|1|19980513|3-MEDIUM|0|49|4669945|8969180|8|4296349|57183|6|19980804|SHIP
2307|2|20|140|1|19950904|5-LOW|0|2|208028|11923262|1|205947|62408|0|19951028|SHIP
1408|2|23|173|2|19970412|5-LOW|0|7|751219|11457159|5|713658|64390|6|19970706|AIR
4934|1|25|97|2|19950226|5-LOW|0|48|4786032|18047816|0|4786032|59825|1|19950501|SHIP
901|3|4|43|1|19950707|4-NOT SPECI|0|37|3489248|10789145|4|3349678|56582|8|19950830|AIR
4032|1|19|102|1|19931114|4-NOT SPECI|0|8|801680|14047024|6|753579|60126|0|19940202|RAIL
1507|1|13|68|2|19930708|5-LOW|0|25|2420150|13350597|1|2395948|58083|8|19930930|RAIL
2757|1|25|148|1|19931125|4-NOT SPECI|0|26|2725164|7610286|7|2534402|62888|0|19940207|MAIL
3173|7|10|28|2|19940715|5-LOW|0|27|2505654|10450216|2|2455540|55681|8|19941003|TRUCK
3776|1|22|3|2|19930526|1-URGENT|0|39|3521700|20932580|5|3345615|54180|1|19930811|FOB
2208|1|7|58|2|19920116|2-HIGH|0|48|4598640|4526900|8|4230748|57483|7|19920316|MAIL
1254|2|20|200|2|19930111|5-LOW|0|47|5170940|17635523|5|4912393|66012|6|19930312|MAIL
4352|5|29|96|1|19940930|4-NOT SPECI|0|4|398436|15556287|2|390467|59765|3|19941111|SHIP
193|4|28|197|2|19931228|3-MEDIUM|0|43|4717917|9399153|9|4293304|65831|7|19940218|TRUCK
2982|2|8|99|2|19951108|3-MEDIUM|0|13|1298817|8306167|2|1272840|59945|8|19951227|RAIL
1666|5|29|45|1|19970712|4-NOT SPECI|0|1|94504|16216207|10|85053|56702|2|19970812|TRUCK
929|2|22|175|1|19921207|1-URGENT|0|44|4730748|10930102|2|4636133|64510|0|19930125|SHIP
5318|2|22|180|1|19980621|3-MEDIUM|0|26|2808468|10693519|0|2808468|64810|4|19980809|SHIP
1475|2|16|118|1|19970824|5-LOW|0|18|1832598|18549666|7|1704316|61086|0|19971030|AIR
4129|1|10|56|2|19980130|1-URGENT|0|32|3059360|12316783|3|2967579|57363|4|19980331|MAIL
5284|6|25|179|1|19970926|5-LOW|0|47|5072099|17879588|6|4767773|64750|7|19971206|AIR
2498|1|28|143|2|19920815|2-HIGH|0|48|5007072|10711331|10|4506364|62588|1|19921016|RAIL
805|5|29|18|1|19931124|3-MEDIUM|0|30|2754030|11991607|8|2533707|55080|1|19940212|SHIP
192|2|13|162|2|19920405|3-MEDIUM|0|20|2124320|14343077|7|1975617|63729|1|19920613|REG AIR
4067|3|16|141|2|19920513|3-MEDIUM|0|17|1769938|13651734|3|1716839|62468|5|19920629|REG AIR
3843|5|19|95|1|19920426|1-URGENT|0|34|3383306|11702258|6|3180307|59705|8|19920725|MAIL
2535|2|13|39|1|19971114|1-URGENT|0|12|1126836|10630048|8|1036689|56341|5|19980206|FOB
2439|1|7|164|2|19950624|1-URGENT|0|2|212832|12752669|9|193677|63849|3|19950920|MAIL
2406|1|22|170|2|19960713|1-URGENT|0|18|1926306|10790585|7|1791464|64210|5|19960909|MAIL
2885|1|22|4|2|19970526|5-LOW|0|6|542400|869545|10|488160|54240|1|19970818|FOB
3585|2|16|19|1|19960510|4-NOT SPECI|0|40|3676040|15901539|3|3565758|55140|0|19960704|RAIL
5479|1|19|138|1|19971004|5-LOW|0|50|5190650|15621275|2|5086837|62287|2|19971127|MAIL
2372|1|1|43|1|19931029|4-NOT SPECI|0|42|3960768|7339959|8|3643906|56582|2|19931210|REG AIR
2279|2|10|41|1|19930126|2-HIGH|0|38|3575952|10979235|8|3289875|56462|7|19930309|TRUCK
4512|6|20|85|1|19940430|3-MEDIUM|0|3|295524|17367641|0|295524|59104|4|19940611|TRUCK
2085|1|10|41|1|19980131|2-HIGH|0|45|4234680|8309267|0|4234680|56462|7|19980323|MAIL
2721|1|13|183|1|19951006|5-LOW|0|49|5307582|12926335|0|5307582|64990|8|19960104|AIR
4260|2|19|27|1|19960804|3-MEDIUM|0|44|4078888|17862378|2|3997310|55621|5|19961014|REG AIR
5127|5|23|41|2|19950826|1-URGENT|0|13|1223352|15283050|4|1174417|56462|3|19951022|TRUCK
5792|3|2|183|1|19930405|5-LOW|0|32|3466176|12824367|5|3292867|64990|8|19930524|RAIL
1954|1|26|152|2|19920920|4-NOT SPECI|0|31|3261665|8987959|6|3065965|63129|6|19921027|RAIL
4838|1|19|122|1|19921111|5-LOW|0|35|3577420|8643175|1|3541645|61327|0|19930201|RAIL
3495|3|2|199|1|19921026|5-LOW|0|16|1758704|9288711|8|1618007|65951|2|19921201|AIR
2247|7|28|179|2|19961214|5-LOW|0|23|2482091|21432443|3|2407628|64750|4|19970121|AIR
768|2|7|18|1|19980523|5-LOW|0|2|183602|4531068|0|183602|55080|4|19980706|SHIP
2368|1|29|152|1|19940117|1-URGENT|0|16|1683440|10124096|4|1616102|63129|3|19940321|REG AIR
3526|1|7|98|1|19970423|2-HIGH|0|11|1097899|5382734|2|1075941|59885|3|19970705|TRUCK
5798|1|13|127|1|19961203|2-HIGH|0|2|205424|8673381|9|186935|61627|0|19970225|FOB
4487|3|17|190|1|19960315|5-LOW|0|1|109019|10946990|2|106838|65411|7|19960612|FOB
4679|1|20|190|2|19920322|4-NOT SPECI|0|7|763133|15068282|10|686819|65411|5|19920611|TRUCK
5984|3|23|1|1|19920422|2-HIGH|0|8|720800|11862096|10|648720|54060|0|19920702|RAIL
1029|2|1|51|1|19940901|3-MEDIUM|0|16|1521680|7245126|10|1369512|57063|2|19941001|TRUCK
2789|4|25|16|2|19941010|2-HIGH|0|47|4305247|21912327|2|4219142|54960|4|19941201|RAIL
3782|2|16|153|1|19940424|1-URGENT|0|10|1053150|15404022|3|1021555|63189|5|19940720|FOB
1254|1|20|193|1|19930111|5-LOW|0|6|655914|17635523|8|603440|65591|1|19930411|REG AIR
1571|3|29|59|1|19921228|2-HIGH|0|18|1726290|15140478|5|1639975|57543|8|19930204|AIR
1094|2|28|60|2|19971107|3-MEDIUM|0|36|3456216|8038538|6|3248843|57603|4|19980131|TRUCK
2593|6|16|175|1|19951214|4-NOT SPECI|0|1|107517|12187102|8|98915|64510|8|19960203|RAIL
3844|4|10|46|2|19980205|2-HIGH|0|47|4446388|8454972|10|4001749|56762|2|19980403|TRUCK
2305|3|22|102|1|19930629|5-LOW|0|32|3206720|11670676|3|3110518|60126|6|19930819|AIR
1953|4|4|25|2|19920420|1-URGENT|0|11|1017522|10196877|1|1007346|55501|2|19920602|TRUCK
4839|1|17|60|2|19970607|3-MEDIUM|0|5|480030|7916875|10|432027|57603|7|19970812|FOB
228|5|22|158|1|19931027|1-URGENT|0|29|3068635|14530777|1|3037948|63489|0|19931126|RAIL
1766|5|10|20|1|19931109|5-LOW|0|47|4324094|13094608|2|4237612|55201|4|19931210|TRUCK
1057|5|26|97|2|19940227|1-URGENT|0|7|697963|14851133|6|656085|59825|5|19940508|TRUCK
2277|6|16|168|1|19930223|3-MEDIUM|0|24|2563584|15784588|7|2384133|64089|8|19930504|FOB
3008|5|2|105|2|19960126|2-HIGH|0|31|3115810|19877307|3|3022335|60306|2|19960408|RAIL
676|2|28|78|2|19930227|5-LOW|0|20|1956140|15308193|7|1819210|58684|7|19930418|REG AIR
5441|5|28|139|1|19961010|4-NOT SPECI|0|46|4779998|18208102|0|4779998|62347|5|19961204|TRUCK
1894|1|22|169|1|19980624|5-LOW|0|40|4276640|13418979|3|4148340|64149|7|19980805|FOB
4064|5|7|21|1|19970127|4-NOT SPECI|0|12|1105224|13810977|8|1016806|55261|8|19970406|RAIL
1892|1|16|113|1|19920330|1-URGENT|0|48|4862928|4813325|2|4765669|60786|1|19920620|RAIL
2789|6|25|144|1|19941010|2-HIGH|0|16|1670624|21912327|7|1553680|62648|3|19941204|RAIL
4740|1|13|3|1|19950323|3-MEDIUM|0|22|1986600|10776819|6|1867404|54180|1|19950505|RAIL
3814|5|20|107|2|19980717|4-NOT SPECI|0|15|1510650|13819341|3|1465330|60426|4|19980817|SHIP
4389|2|8|153|2|19920218|2-HIGH|0|13|1369095|3314251|0|1369095|63189|0|19920321|RAIL
1827|2|23|154|2|19940508|2-HIGH|0|48|5059920|17708022|3|4908122|63249|5|19940801|RAIL
5604|6|29|7|2|19961112|5-LOW|0|43|3900100|24387138|0|3900100|54420|1|19961222|FOB
4549|1|22|159|2|19960209|2-HIGH|0|44|4660260|4977906|8|4287439|63549|0|19960321|TRUCK
5187|1|16|11|2|19931126|5-LOW|0|49|4463949|15149572|4|4285391|54660|6|19940222|AIR
5028|2|22|199|1|19980525|4-NOT SPECI|0|15|1648785|3075569|3|1599321|65951|7|19980816|REG AIR
4452|4|29|79|1|19940202|5-LOW|0|44|4307908|16356556|0|4307908|58744|8|19940304|SHIP
5090|7|5|72|2|19951030|5-LOW|0|15|1458105|14703605|9|1326875|58324|7|19951224|RAIL
643|5|23|190|2|19941203|2-HIGH|0|47|5123893|21984219|10|4611503|65411|3|19950222|RAIL
5123|1|7|26|1|19980207|5-LOW|0|13|1203826|6258678|8|1107519|55561|7|19980320|MAIL
5603|4|7|53|1|19960822|2-HIGH|0|47|4479335|21352367|7|4165781|57183|1|19961022|FOB
1632|2|14|148|2|19960910|1-URGENT|0|14|1467396|21855932|8|1350004|62888|5|19961028|RAIL
5635|3|22|72|2|19960617|3-MEDIUM|0|12|1166484|15744995|9|1061500|58324|2|19960726|REG AIR
3458|4|17|16|1|19951003|2-HIGH|0|16|1465616|16218195|9|1333710|54960|3|19951207|AIR
388|7|22|13|2|19980407|5-LOW|0|39|3560739|24030964|10|3204665|54780|3|19980520|TRUCK
4353|5|1|113|1|19961116|1-URGENT|0|1|101311|12533154|0|101311|60786|7|19970115|MAIL
327|2|1|42|1|19931231|5-LOW|0|9|847836|15549212|9|771530|56522|5|19940326|AIR
2851|1|19|148|1|19940505|2-HIGH|0|8|838512|9481236|9|763045|62888|3|19940720|REG AIR
4674|1|4|150|1|19950901|2-HIGH|0|50|5250750|17036353|7|4883197|63009|8|19951028|RAIL
2276|1|29|119|2|19980425|3-MEDIUM|0|5|509555|4704214|7|473886|61146|8|19980614|FOB
5346|4|11|162|1|19971108|5-LOW|0|35|3717560|10983513|6|3494506|63729|2|19980112|FOB
3301|2|29|89|2|19971214|4-NOT SPECI|0|22|2175976|11685423|2|2132456|59344|8|19980224|SHIP
1378|2|28|124|1|19960707|3-MEDIUM|0|18|1843416|7746118|5|1751245|61447|2|19960913|RAIL
230|3|25|8|2|19931019|4-NOT SPECI|0|1|90800|5324651|7|84444|54480|6|19931226|RAIL
5189|1|16|138|2|19941211|4-NOT SPECI|0|44|4567772|13065782|2|4476416|62287|6|19950222|MAIL
4352|3|29|164|1|19940930|4-NOT SPECI|0|4|425664|15556287|3|412894|63849|4|19941223|AIR
1734|1|23|155|1|19960517|5-LOW|0|38|4009570|5443803|3|3889282|63309|3|19960813|FOB
1090|4|25|162|1|19950304|3-MEDIUM|0|48|5098368|12082590|7|4741482|63729|0|19950517|AIR
4196|2|29|9|2|19970616|3-MEDIUM|0|31|2817900|10772419|9|2564289|54540|8|19970829|MAIL
4928|1|29|100|1|19940506|5-LOW|0|4|400040|11709396|4|384038|60006|2|19940726|REG AIR
5607|2|16|46|1|19980531|3-MEDIUM|0|16|1513664|21709167|6|1422844|56762|1|19980803|AIR
5410|3|29|29|1|19980120|2-HIGH|0|40|3716080|13910417|7|3455954|55741|8|19980327|TRUCK
3207|4|28|19|2|19941024|5-LOW|0|32|2940832|9099773|0|2940832|55140|3|19950101|SHIP
5541|7|23|120|2|19930925|3-MEDIUM|0|48|4896576|22943947|9|4455884|61207|2|19931220|RAIL
1025|3|26|23|2|19920603|3-MEDIUM|0|25|2307550|19940395|6|2169097|55381|5|19920720|REG AIR
3237|1|7|11|1|19980112|4-NOT SPECI|0|11|1002111|13297868|2|982068|54660|7|19980311|AIR
2369|3|4|167|2|19980107|1-URGENT|0|16|1707456|19785557|0|1707456|64029|3|19980322|MAIL
834|3|14|17|2|19961125|4-NOT SPECI|0|9|825309|5457105|9|751031|55020|8|19970214|MAIL
2529|1|10|131|2|19960506|4-NOT SPECI|0|4|412452|14696831|7|383580|61867|7|19960804|SHIP
1728|2|25|105|1|19980724|5-LOW|0|23|2311730|13160434|5|2196143|60306|2|19980925|FOB
3842|2|16|122|2|19941229|1-URGENT|0|21|2146452|5119129|7|1996200|61327|5|19950221|RAIL
897|4|22|102|2|19980408|5-LOW|0|2|200420|17298112|8|184386|60126|8|19980526|RAIL
5379|1|7|199|1|19930129|5-LOW|0|40|4396760|20633013|1|4352792|65951|8|19930411|MAIL
1536|4|7|40|1|19950618|4-NOT SPECI|0|32|3008128|12536076|9|2737396|56402|2|19950915|RAIL
5124|2|23|6|2|19921012|4-NOT SPECI|0|41|3714600|12554043|2|3640308|54360|6|19930106|RAIL
3683|5|4|120|2|19920117|3-MEDIUM|0|47|4794564|14733015|10|4315107|61207|5|19920404|MAIL
69|1|1|116|1|19980124|4-NOT SPECI|0|48|4877328|16217623|1|4828554|60966|7|19980402|TRUCK
2818|2|4|199|2|19940520|3-MEDIUM|0|22|2418218|7647906|6|2273124|65951|7|19940816|RAIL
3554|2|4|145|1|19920923|4-NOT SPECI|0|18|1881252|9833561|3|1824814|62708|0|19921118|REG AIR
5696|4|19|98|1|19940521|3-MEDIUM|0|20|1996180|19285201|8|1836485|59885|0|19940804|TRUCK
896|1|11|39|1|19930603|2-HIGH|0|47|4413441|7266102|7|4104500|56341|8|19930809|TRUCK
5541|4|23|25|2|19930925|3-MEDIUM|0|13|1202526|22943947|2|1178475|55501|8|19931123|AIR
3586|4|25|84|1|19950319|4-NOT SPECI|0|33|3247464|11284504|6|3052616|59044|1|19950524|TRUCK
1824|3|17|199|2|19920416|4-NOT SPECI|0|13|1428947|17066986|8|1314631|65951|1|19920702|FOB
5765|5|25|174|2|19920429|2-HIGH|0|48|5156016|19166097|9|4691974|64450|2|19920529|SHIP
3267|5|4|176|2|19960301|3-MEDIUM|0|33|3551361|12418155|9|3231738|64570|1|19960408|FOB
4550|2|28|66|1|19960814|5-LOW|0|19|1835514|5477867|6|1725383|57963|4|19960929|AIR
3399|1|23|134|2|19960331|4-NOT SPECI|0|28|2895564|11160474|9|2634963|62047|5|19960619|AIR
4129|6|10|54|1|19980130|1-URGENT|0|1|95405|12316783|9|86818|57243|6|19980319|AIR
870|7|1|125|2|19930309|1-URGENT|0|8|820096|14667920|6|770890|61507|4|19930509|AIR
480|3|26|194|1|19960326|1-URGENT|0|18|1969542|18785231|4|1890760|65651|0|19960501|RAIL
4290|3|5|40|2|19920109|3-MEDIUM|0|14|1316056|10623901|0|1316056|56402|5|19920224|TRUCK
1473|1|1|54|2|19971112|2-HIGH|0|50|4770250|24825987|4|4579440|57243|3|19980115|TRUCK
1090|2|25|113|2|19950304|3-MEDIUM|0|28|2836708|12082590|8|2609771|60786|8|19950422|FOB
2754|1|25|149|1|19940418|1-URGENT|0|4|419656|10692443|5|398673|62948|8|19940530|REG AIR
4644|2|17|97|1|19960618|1-URGENT|0|16|1595344|8590170|3|1547483|59825|4|19960723|SHIP
3910|1|7|139|2|19961107|2-HIGH|0|10|1039130|9400635|0|1039130|62347|8|19970112|FOB
3360|2|28|91|1|19950729|5-LOW|0|29|2874161|16875048|0|2874161|59465|6|19950831|FOB
2278|1|10|45|1|19940107|4-NOT SPECI|0|36|3402144|10187846|4|3266058|56702|5|19940218|TRUCK
736|4|5|98|2|19930302|4-NOT SPECI|0|14|1397326|13020417|6|1313486|59885|4|19930425|REG AIR
3335|2|10|31|1|19920823|4-NOT SPECI|0|44|4096532|6946612|7|3809774|55861|2|19921102|SHIP
4131|1|22|50|1|19920807|4-NOT SPECI|0|6|570030|546943|5|541528|57003|1|19921024|MAIL
1888|3|2|80|1|19961218|4-NOT SPECI|0|49|4802392|22472411|7|4466224|58804|5|19970303|FOB
5312|1|7|61|2|19950602|2-HIGH|0|27|2594862|6669795|4|2491067|57663|8|19950716|SHIP
5920|5|29|100|2|19961114|5-LOW|0|42|4200420|17704310|9|3822382|60006|8|19970101|AIR
4737|2|29|69|1|19930221|5-LOW|0|22|2131932|6413503|4|2046654|58143|4|19930504|RAIL
2082|6|16|191|2|19930317|2-HIGH|0|34|3710046|24732181|2|3635845|65471|1|19930508|SHIP
3392|4|29|124|2|19960505|4-NOT SPECI|0|7|716884|12214580|8|659533|61447|5|19960717|RAIL
642|2|2|49|2|19920501|1-URGENT|0|50|4745200|20208675|3|4602844|56942|0|19920713|TRUCK
5958|2|14|43|2|19940618|5-LOW|0|23|2168992|11401394|3|2103922|56582|4|19940721|SHIP
2531|1|10|148|2|19970324|1-URGENT|0|9|943326|19206313|3|915026|62888|7|19970521|AIR
1735|1|22|156|1|19931224|2-HIGH|0|43|4541445|16876478|2|4450616|63369|6|19940322|FOB
1318|1|4|114|2|19920416|5-LOW|0|24|2433864|4881662|8|2239154|60846|6|19920705|AIR
1696|1|8|16|2|19970423|2-HIGH|0|8|732808|13036950|4|703495|54960|2|19970523|TRUCK
516|5|29|42|2|19980208|2-HIGH|0|28|2637712|22395874|2|2584957|56522|4|19980322|MAIL
4544|4|10|51|2|19950729|5-LOW|0|39|3709095|11425512|7|3449458|57063|5|19950829|REG AIR
5063|1|26|129|1|19920729|1-URGENT|0|31|3190272|9768626|8|2935050|61747|1|19920901|RAIL
801|2|4|95|2|19970429|5-LOW|0|21|2089689|3106128|5|1985204|59705|2|19970611|AIR
3394|5|29|127|1|19940521|3-MEDIUM|0|30|3081360|21552927|4|2958105|61627|6|19940809|REG AIR
5156|4|16|36|2|19970121|1-URGENT|0|31|2901693|19772486|6|2727591|56161|8|19970225|TRUCK
5761|2|2|108|1|19980626|4-NOT SPECI|0|36|3629160|21786286|0|3629160|60486|7|19980911|TRUCK
3941|4|8|110|2|19961009|5-LOW|0|29|2929319|9545380|0|2929319|60606|3|19961114|MAIL
1062|1|29|137|1|19920521|5-LOW|0|38|3941094|13502980|0|3941094|62227|1|19920711|TRUCK
4295|5|4|125|2|19940718|3-MEDIUM|0|12|1230144|8930935|7|1144033|61507|1|19940821|AIR
4711|1|16|133|1|19930311|4-NOT SPECI|0|7|723191|2251762|3|701495|61987|1|19930429|MAIL
3170|4|19|41|1|19920603|4-NOT SPECI|0|34|3199536|12400539|5|3039559|56462|4|19920805|TRUCK
1282|1|28|23|1|19960107|2-HIGH|0|14|1292228|10422156|4|1240538|55381|2|19960212|REG AIR
3974|1|14|22|2|19920104|5-LOW|0|47|4333494|5677906|10|3900144|55321|3|19920308|TRUCK
192|4|13|197|2|19920405|3-MEDIUM|0|2|219438|14343077|6|206271|65831|2|19920614|SHIP
5987|7|16|91|1|19951015|3-MEDIUM|0|39|3865251|17472596|0|3865251|59465|7|19951127|FOB
5923|5|29|59|2|19951113|5-LOW|0|35|3356675|20779008|4|3222408|57543|5|19951228|AIR
2149|3|13|49|2|19961111|3-MEDIUM|0|47|4460488|8449720|0|4460488|56942|4|19970110|AIR
3142|1|28|120|2|19920130|5-LOW|0|15|1530180|4536024|3|1484274|61207|8|19920321|AIR
3012|3|7|103|1|19921030|4-NOT SPECI|0|7|702170|16879085|5|667061|60186|2|19921211|TRUCK
4964|4|14|180|1|19960907|2-HIGH|0|12|1296216|14767669|8|1192518|64810|1|19961205|TRUCK
4679|6|20|1|2|19920322|4-NOT SPECI|0|7|630700|15068282|8|580244|54060|4|19920517|TRUCK
5319|5|7|89|1|19970824|1-URGENT|0|46|4549768|15126147|7|4231284|59344|8|19971113|AIR
129|3|19|40|1|19940608|3-MEDIUM|0|33|3102132|11003220|4|2978046|56402|6|19940903|SHIP
5507|2|16|138|1|19940408|5-LOW|0|48|4983024|14036370|3|4833533|62287|1|19940621|AIR
4775|1|19|74|1|19960125|1-URGENT|0|1|97407|11244442|10|87666|58444|2|19960311|MAIL
4806|3|7|29|1|19971204|3-MEDIUM|0|8|743216|9098890|9|676326|55741|0|19980228|TRUCK
4576|2|19|58|1|19920913|5-LOW|0|43|4119615|13640482|8|3790045|57483|6|19921023|SHIP
675|5|25|5|1|19931124|3-MEDIUM|0|46|4163000|12518872|9|3788330|54300|5|19940207|AIR
1666|6|29|173|2|19970712|4-NOT SPECI|0|32|3434144|16216207|6|3228095|64390|2|19970912|MAIL
5700|1|20|168|2|19930907|4-NOT SPECI|0|24|2563584|12645442|9|2332861|64089|0|19931011|REG AIR
1185|2|28|31|1|19921120|3-MEDIUM|0|28|2606884|4703321|7|2424402|55861|6|19930103|REG AIR
967|2|16|85|2|19950910|3-MEDIUM|0|4|394032|17928795|1|390091|59104|2|19951016|REG AIR
4512|7|20|53|2|19940430|3-MEDIUM|0|23|2192015|17367641|0|2192015|57183|0|19940609|MAIL
2629|3|8|128|1|19930924|5-LOW|0|29|2981548|6546372|8|2743024|61687|7|19931205|AIR
1603|2|13|66|1|19980424|4-NOT SPECI|0|29|2801574|7356456|6|2633479|57963|8|19980614|SHIP
709|4|13|108|1|19930923|4-NOT SPECI|0|40|4032400|7205587|10|3629160|60486|8|19931122|RAIL
5829|4|28|90|2|19961117|5-LOW|0|42|4158378|14398186|2|4075210|59405|7|19970205|REG AIR
576|2|19|34|2|19970110|5-LOW|0|6|560418|738562|6|526792|56041|5|19970325|TRUCK
1730|3|29|162|1|19931129|5-LOW|0|9|955944|17701622|10|860349|63729|0|19940121|FOB
4038|4|26|150|1|19961010|4-NOT SPECI|0|29|3045435|19501302|7|2832254|63009|6|19961211|FOB
1056|4|11|177|1|19930426|3-MEDIUM|0|42|4524114|15123546|4|4343149|64630|1|19930606|SHIP
482|2|11|122|2|19970103|3-MEDIUM|0|1|102212|13663434|5|97101|61327|8|19970227|AIR
871|4|10|190|1|19950320|1-URGENT|0|29|3161551|13120801|6|2971857|65411|7|19950601|RAIL
4486|3|14|96|1|19951025|5-LOW|0|47|4681623|16235958|2|4587990|59765|7|19960115|MAIL
3588|6|29|110|1|19950513|5-LOW|0|37|3737407|20792583|8|3438414|60606|4|19950719|RAIL
3622|1|25|175|1|19930617|5-LOW|0|47|5053299|14386271|9|4598502|64510|0|19930912|TRUCK
2945|1|14|59|1|19950426|1-URGENT|0|37|3548485|6417556|0|3548485|57543|2|19950712|SHIP
3271|1|28|57|2|19921103|2-HIGH|0|30|2871150|2956135|1|2842438|57423|4|19930121|AIR
5254|1|7|111|1|19971203|3-MEDIUM|0|35|3538885|4771447|1|3503496|60666|7|19980113|REG AIR
3748|3|20|197|2|19950430|3-MEDIUM|0|19|2084661|8939425|5|1980427|65831|1|19950717|RAIL
4449|2|1|141|1|19941001|1-URGENT|0|10|1041140|6976169|2|1020317|62468|3|19941225|SHIP
513|2|29|122|2|19930829|4-NOT SPECI|0|44|4497328|19430480|1|4452354|61327|1|19931111|MAIL
2566|2|22|181|2|19930305|4-NOT SPECI|0|42|4540956|6264248|8|4177679|64870|2|19930517|MAIL
5509|7|16|86|1|19941129|1-URGENT|0|9|887472|14957833|4|851973|59164|5|19950124|AIR
1025|1|26|150|1|19920603|3-MEDIUM|0|36|3780540|19940395|3|3667123|63009|4|19920803|FOB
3715|5|7|67|2|19980603|4-NOT SPECI|0|42|4061652|17331904|3|3939802|58023|3|19980712|TRUCK
517|4|13|133|1|19971031|1-URGENT|0|11|1136443|8658980|6|1068256|61987|2|19971225|REG AIR
4293|1|1|1|2|19960210|3-MEDIUM|0|34|3063400|15601738|3|2971498|54060|8|19960403|FOB
1218|4|10|42|1|19960829|1-URGENT|0|1|94204|14483274|1|93261|56522|8|19961116|TRUCK
5856|2|13|35|2|19920714|4-NOT SPECI|0|35|3272605|13508157|9|2978070|56101|2|19920830|AIR
5409|4|13|1|2|19970516|3-MEDIUM|0|9|810900|13090110|7|754137|54060|3|19970808|AIR
5601|1|16|38|2|19920620|4-NOT SPECI|0|29|2720287|10624845|9|2475461|56281|4|19920808|TRUCK
899|4|4|180|2|19980721|4-NOT SPECI|0|14|1512252|6133313|5|1436639|64810|3|19980909|FOB
4481|3|11|191|2|19920307|3-MEDIUM|0|28|3055332|10764765|2|2994225|65471|0|19920416|FOB
2437|3|11|2|2|19970315|2-HIGH|0|23|2074600|9424552|1|2053854|54120|0|19970522|SHIP
1923|1|4|37|1|19920305|1-URGENT|0|9|843327|9797321|1|834893|56221|8|19920512|FOB
832|2|10|48|2|19940523|3-MEDIUM|0|24|2275296|6849408|5|2161531|56882|6|19940817|TRUCK
1575|2|11|36|2|19940827|5-LOW|0|39|3650517|8998034|0|3650517|56161|6|19940928|TRUCK
5187|2|16|83|1|19931126|5-LOW|0|1|98308|15149572|10|88477|58984|8|19940104|REG AIR
1376|1|4|169|1|19960309|4-NOT SPECI|0|22|2352152|8458661|1|2328630|64149|3|19960513|REG AIR
357|5|16|33|2|19941219|3-MEDIUM|0|19|1772757|19537552|5|1684119|55981|3|19950316|AIR
3619|3|29|48|2|19930506|3-MEDIUM|0|46|4360984|13726419|8|4012105|56882|3|19930713|SHIP
800|1|28|72|2|19950105|1-URGENT|0|38|3693866|16817096|0|3693866|58324|5|19950319|TRUCK
5159|5|29|198|1|19970725|3-MEDIUM|0|36|3953484|15941296|6|3716274|65891|1|19970906|REG AIR
2151|1|28|167|2|19970120|3-MEDIUM|0|23|2454468|21090643|6|2307199|64029|2|19970225|AIR
3879|2|5|45|2|19931221|4-NOT SPECI|0|35|3307640|10362362|0|3307640|56702|7|19940220|MAIL
2593|5|16|4|1|19951214|4-NOT SPECI|0|3|271200|12187102|3|263064|54240|0|19960210|SHIP
736|5|5|169|2|19930302|4-NOT SPECI|0|32|3421312|13020417|4|3284459|64149|3|19930503|RAIL
4833|3|29|18|1|19941025|1-URGENT|0|26|2386826|8136702|8|2195879|55080|4|19941225|SHIP
770|5|20|6|1|19930417|2-HIGH|0|13|1177800|9849151|8|1083576|54360|2|19930528|SHIP
4260|5|19|156|1|19960804|3-MEDIUM|0|2|211230|17862378|9|192219|63369|3|19961101|RAIL
2727|5|4|161|1|19931130|2-HIGH|0|46|4881336|21971582|6|4588455|63669|4|19940222|AIR
4646|4|16|40|1|19951107|1-URGENT|0|38|3572152|15579434|8|3286379|56402|1|19960112|SHIP
5926|4|29|190|2|19970414|3-MEDIUM|0|23|2507437|10577053|1|2482362|65411|2|19970705|FOB
549|3|19|66|1|19950530|1-URGENT|0|36|3477816|9277615|8|3199590|57963|4|19950828|AIR
5603|6|7|24|1|19960822|2-HIGH|0|20|1848040|21352367|8|1700196|55441|0|19961014|SHIP
1831|3|28|115|2|19930113|2-HIGH|0|17|1725687|5803277|2|1691173|60906|8|19930326|MAIL
4291|4|22|40|2|19960820|2-HIGH|0|27|2538108|12773577|3|2461964|56402|6|19961105|RAIL
4260|6|19|99|2|19960804|3-MEDIUM|0|49|4895541|17862378|4|4699719|59945|0|19961023|REG AIR
